编号,类型,中文标题,原文标题,艺术家,年代,尺寸,媒材,收藏机构,藏品编号,馆藏页URL,在报告中的角色,图像来源页,原图直链,本地文件,本地原图分辨率,裁切坐标,母图编号,机构技术影像URL,版权状态
giotto-lamentation,全图,乔托《哀悼基督》,Lamentation,Giotto,c.1305,,湿壁画,Scrovegni Chapel,,https://commons.wikimedia.org/wiki/File:Giotto_-_Scrovegni_-_-36-_-_Lamentation_(The_Mourning_of_Christ)_adj.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Giotto_-_Scrovegni_-_-36-_-_Lamentation_(The_Mourning_of_Christ)_adj.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Giotto_-_Scrovegni_-_-36-_-_Lamentation_(The_Mourning_of_Christ)_adj.jpg?width=2000,images/originals/giotto-lamentation.jpg,,,,,public-domain-or-cc / generated
masaccio-trinity,全图,马萨乔《三位一体》,Holy Trinity,Masaccio,1427,,湿壁画,Santa Maria Novella,,"https://commons.wikimedia.org/wiki/File:Masaccio,_trinit%C3%A0.jpg",主范例全图,"https://commons.wikimedia.org/wiki/File:Masaccio,_trinit%C3%A0.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Masaccio,_trinit%C3%A0.jpg?width=2000",images/originals/masaccio-trinity.jpg,,,,,public-domain-or-cc / generated
piero-flagellation,全图,皮耶罗《鞭刑》,Flagellation of Christ,Piero della Francesca,c.1455,,板面油画,Galleria Nazionale delle Marche,,"https://commons.wikimedia.org/wiki/File:Piero,_flagellazione.jpg",主范例全图,"https://commons.wikimedia.org/wiki/File:Piero,_flagellazione.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Piero,_flagellazione.jpg?width=2000",images/originals/piero-flagellation.jpg,,,,,public-domain-or-cc / generated
raphael-school-of-athens,全图,拉斐尔《雅典学院》,School of Athens,Raphael,1509–1511,,湿壁画,Vatican Museums,,https://commons.wikimedia.org/wiki/File:Raphael_School_of_Athens.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Raphael_School_of_Athens.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Raphael_School_of_Athens.jpg?width=2500,images/originals/raphael-school-of-athens.jpg,,,,,public-domain-or-cc / generated
van-eyck-arnolfini,全图,扬·凡·艾克《阿尔诺芬尼夫妇》,Arnolfini Portrait,Jan van Eyck,1434,,板面油画,"National Gallery, London",,https://commons.wikimedia.org/wiki/File:Van_Eyck_-_Arnolfini_Portrait.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Van_Eyck_-_Arnolfini_Portrait.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Van_Eyck_-_Arnolfini_Portrait.jpg?width=2000,images/originals/van-eyck-arnolfini.jpg,,,,,public-domain-or-cc / generated
holbein-ambassadors,全图,霍尔拜因《大使们》,The Ambassadors,Hans Holbein the Younger,1533,,板面油画,"National Gallery, London",,https://commons.wikimedia.org/wiki/File:Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg?width=2500,images/originals/holbein-ambassadors.jpg,,,,,public-domain-or-cc / generated
pozzo-sant-ignazio,全图,波佐《圣依纳爵的荣耀》,Apotheosis of St Ignatius,Andrea Pozzo,1691–1694,,天顶画,"Sant'Ignazio, Rome",,https://commons.wikimedia.org/wiki/File:Andrea_Pozzo_-_Apoteosi_di_sant%27Ignazio_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Andrea_Pozzo_-_Apoteosi_di_sant%27Ignazio_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Andrea_Pozzo_-_Apoteosi_di_sant%27Ignazio_-_Google_Art_Project.jpg?width=2000,images/originals/pozzo-sant-ignazio.jpg,,,,,public-domain-or-cc / generated
velazquez-meninas,全图,委拉斯开兹《宫娥》,Las Meninas,Diego Velázquez,1656,,布面油画,Museo del Prado,,"https://commons.wikimedia.org/wiki/File:Las_Meninas,_by_Diego_Vel%C3%A1zquez,_from_Prado_in_Google_Earth.jpg",主范例全图,"https://commons.wikimedia.org/wiki/File:Las_Meninas,_by_Diego_Vel%C3%A1zquez,_from_Prado_in_Google_Earth.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Las_Meninas,_by_Diego_Vel%C3%A1zquez,_from_Prado_in_Google_Earth.jpg?width=2500",images/originals/velazquez-meninas.jpg,,,,,public-domain-or-cc / generated
vermeer-milkmaid,全图,维米尔《倒牛奶的女仆》,The Milkmaid,Johannes Vermeer,c.1660,,布面油画,Rijksmuseum,,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg?width=2000,images/originals/vermeer-milkmaid.jpg,,,,,public-domain-or-cc / generated
degas-absinthe,全图,德加《苦艾酒》,L'Absinthe,Edgar Degas,1875–1876,,布面油画,Musée d'Orsay,,https://commons.wikimedia.org/wiki/File:Edgar_Germain_Hilaire_Degas_012.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Edgar_Germain_Hilaire_Degas_012.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Edgar_Germain_Hilaire_Degas_012.jpg?width=2000,images/originals/degas-absinthe.jpg,,,,,public-domain-or-cc / generated
leonardo-rocks-london,全图,达·芬奇《岩间圣母》（伦敦）,Virgin of the Rocks,Leonardo da Vinci,c.1491–1508,,板面油画,"National Gallery, London",,https://commons.wikimedia.org/wiki/File:Leonardo_da_Vinci_-_Virgin_of_the_Rocks_(National_Gallery_London).jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Leonardo_da_Vinci_-_Virgin_of_the_Rocks_(National_Gallery_London).jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Leonardo_da_Vinci_-_Virgin_of_the_Rocks_(National_Gallery_London).jpg?width=2000,images/originals/leonardo-rocks-london.jpg,,,,,public-domain-or-cc / generated
titian-bacchus-ariadne,全图,提香《巴克斯与阿里阿德涅》,Bacchus and Ariadne,Titian,1520–1523,,布面油画,"National Gallery, London",,https://commons.wikimedia.org/wiki/File:Titian_-_Bacchus_and_Ariadne_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Titian_-_Bacchus_and_Ariadne_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Titian_-_Bacchus_and_Ariadne_-_Google_Art_Project.jpg?width=2500,images/originals/titian-bacchus-ariadne.jpg,,,,,public-domain-or-cc / generated
caravaggio-emmaus,全图,卡拉瓦乔《以马忤斯的晚餐》,Supper at Emmaus,Caravaggio,1601,,布面油画,"National Gallery, London",,https://commons.wikimedia.org/wiki/File:Caravaggio_-_Cena_in_Emmaus.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Caravaggio_-_Cena_in_Emmaus.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio_-_Cena_in_Emmaus.jpg?width=2000,images/originals/caravaggio-emmaus.jpg,,,,,public-domain-or-cc / generated
rembrandt-night-watch,全图,伦勃朗《夜巡》,The Night Watch,Rembrandt,1642,,布面油画,Rijksmuseum,,https://commons.wikimedia.org/wiki/File:The_Nightwatch_by_Rembrandt_-_Rijksmuseum.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:The_Nightwatch_by_Rembrandt_-_Rijksmuseum.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/The_Nightwatch_by_Rembrandt_-_Rijksmuseum.jpg?width=2500,images/originals/rembrandt-night-watch.jpg,,,,,public-domain-or-cc / generated
reynolds-nelsons,全图,雷诺兹《纯真年代》,The Age of Innocence,Joshua Reynolds,c.1788,,布面油画,Tate,,https://commons.wikimedia.org/wiki/File:Joshua_Reynolds_-_The_Age_of_Innocence_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Joshua_Reynolds_-_The_Age_of_Innocence_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Joshua_Reynolds_-_The_Age_of_Innocence_-_Google_Art_Project.jpg?width=2000,images/originals/reynolds-health-of-the-nation.jpg,,,,,public-domain-or-cc / generated
monet-sunrise,全图,莫奈《印象·日出》,"Impression, soleil levant",Claude Monet,1872,,布面油画,Musée Marmottan Monet,,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Impression,_soleil_levant.jpg",主范例全图,"https://commons.wikimedia.org/wiki/File:Claude_Monet,_Impression,_soleil_levant.jpg","https://commons.wikimedia.org/wiki/Special:FilePath/Claude_Monet,_Impression,_soleil_levant.jpg?width=2000",images/originals/monet-sunrise.jpg,,,,,public-domain-or-cc / generated
cezanne-apples,全图,塞尚《苹果静物》,Still Life with Apples,Paul Cézanne,c.1893–1894,,布面油画,J. Paul Getty Museum,,https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_Still_Life_with_Apples_-_Google_Art_Project.jpg,主范例全图,https://commons.wikimedia.org/wiki/File:Paul_C%C3%A9zanne_-_Still_Life_with_Apples_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Paul_C%C3%A9zanne_-_Still_Life_with_Apples_-_Google_Art_Project.jpg?width=2000,images/originals/cezanne-apples.jpg,,,,,public-domain-or-cc / generated
